day,id,price,base
10,UP9000-PPSA03016_00-MARVELSPIDERMAN2,2939,6999
10,UP9000-PPSA30630_00-MLBTHESHOW26DGDL,4959,7999
10,UP9000-PPSA26344_00-GHOST2SHIP000000,4969,6999
10,UP9000-PPSA01467_00-MARVELSSPIDERMAN,2499,4999
10,UP1001-PPSA34299_00-WWE2K26000000000,3499,6999
10,UP0002-PPSA01649_00-CODBO7CROSSGEN01,3499,6999
10,HB2241-PPSA38175_00-0978079769625532,2499,2499
10,UP1018-PPSA16833_00-LEGOBATMAN000000,5599,6999
10,UP1004-PPSA03420_00-GTAVCROSSGENBUND,1999,3999
10,UP6312-PPSA22327_00-0629872585919347,2999,5999
10,UP3526-PPSA14001_00-0507384846053057,4899,6999
10,JP0101-PPSA15304_00-MGSDELTAMAINGAME,2799,6999
10,UP0006-PPSA19534_00-SANTIAGODELUXE00,6499,9999
10,UP9000-PPSA28180_00-DAYSGONEREMASTER,1999,4999
10,UP1003-PPSA20560_00-DOOMTDAPREMIUMED,3299,9999
10,UP0001-CUSA02902_00-GRWNCSANORMAL000,499,4999
10,UP1003-PPSA26786_00-PREMIUMEDITION00,4999,9999
10,UP9000-PPSA07632_00-SAROS00000000000,4969,6999
10,UP0002-CUSA05969_00-CODWWIIGOLDED001,1499,5999
10,UP1004-CUSA03041_00-RDR2ULTMEDTNBUND,1999,9999
10,UP6312-PPSA23943_00-FLIGHTSIM2024STA,5599,6999
10,UP9000-PPSA01411_00-MARVELSSMMORALES,1999,4999
10,UP2047-PPSA21705_00-KINGDOM2GOLDSIEA,3599,8999
10,UP1003-PPSA24884_00-PREMIUMBUNDLE000,5599,6999
10,UB2066-PPSA36797_00-0661353469002457,1299,1299
10,UP2154-CUSA04794_00-GANGBEASTSPS04NA,799,1999
10,EP7789-PPSA09030_00-5648706170853559,1399,1999
10,UP1001-PPSA17952_00-PGA2K25PRO000000,3959,5999
10,EP4389-PPSA23372_00-ANIMALGAMEGLOBAL,3199,3999
10,UP0002-CUSA11100_00-CODBO4OPEREDN004,1499,5999
10,UP1001-PPSA01494_00-DELUXEEDITION000,4999,9999
10,UP0082-PPSA08666_00-0783148264580163,1999,4999
10,EP4415-PPSA24616_00-RUSTCONSOLEBASE5,2499,4999
10,UP1001-PPSA28420_00-NBA2K26DELUXE000,1599,7999
